"TmStamp","Total_Precip_mm","Device","Correlation","Comment"
20100925,0,"LPM","NO",NA
20100926,0.07,"LPM","NO",NA
20100927,23.74,"LPM","NO",NA
20100928,4.76,"LPM","NO",NA
20100929,0.11,"LPM","NO",NA
20100930,71.02,"LPM","NO",NA
20101001,3.15,"LPM","NO",NA
20101002,0,"LPM","NO",NA
20101003,0.8,"LPM","NO",NA
20101004,5.39,"LPM","NO",NA
20101005,2.13,"LPM","NO",NA
20101006,1.53,"LPM","NO",NA
20101007,0.14,"LPM","NO",NA
20101008,0,"LPM","NO",NA
20101009,0.69,"LPM","NO",NA
20101010,0,"LPM","NO",NA
20101011,0.8,"LPM","YES",NA
20101012,5.24,"LPM","YES",NA
20101013,0.4,"LPM","YES",NA
20101014,1.48,"LPM","YES",NA
20101015,0.48,"LPM","YES",NA
20101016,0.07,"LPM","YES",NA
20101017,0,"LPM","YES",NA
20101018,0.87,"LPM","YES",NA
20101019,1.59,"LPM","YES",NA
20101020,0,"LPM","YES",NA
20101021,0.08,"LPM","YES",NA
20101022,0.7,"LPM","YES",NA
20101023,0,"LPM","YES",NA
20101024,0,"LPM","YES",NA
20101025,2.68,"LPM","YES",NA
20101026,0,"LPM","YES",NA
20101027,9.4,"LPM","YES",NA
20101028,0,"LPM","YES",NA
20101029,0.14,"LPM","YES",NA
20101030,0,"LPM","YES",NA
20101031,0,"LPM","YES",NA
20101101,0,"LPM","YES",NA
20101102,0,"LPM","YES",NA
20101103,0,"LPM","YES",NA
20101104,10.68,"LPM","YES",NA
20101105,1.49,"LPM","YES",NA
20101106,0.16,"LPM","YES",NA
20101107,0,"LPM","YES",NA
20101108,0,"LPM","YES",NA
20101109,0,"LPM","YES",NA
20101110,0,"LPM","YES",NA
20101111,0,"LPM","YES",NA
20101112,0,"LPM","YES",NA
20101113,0,"LPM","YES",NA
20101114,0.29,"LPM","YES",NA
20101115,1.42,"LPM","YES",NA
20101116,13.59,"LPM","YES",NA
